event_index,crate7_trigger,crate7_tcp_fill,crate7_gpu_fill,crate8_trigger,crate8_tcp_fill,crate8_gpu_fill,filename
30046,795251,8818,8818,797811,11378,11378,run00322_00031.mid.lz4
30047,795252,8819,8819,797812,11379,11379,run00322_00031.mid.lz4
30048,795253,8820,8820,797813,11380,11380,run00322_00031.mid.lz4
30049,795254,8821,8821,797814,11381,11381,run00322_00031.mid.lz4
30050,795255,8822,8822,797815,11382,11382,run00322_00031.mid.lz4
30051,795256,8823,8823,797816,11383,11383,run00322_00031.mid.lz4
30052,795257,8824,8824,797817,11384,11384,run00322_00031.mid.lz4
30053,795258,8825,8825,797818,11385,11385,run00322_00031.mid.lz4
30054,795259,8826,8826,797819,11386,11386,run00322_00031.mid.lz4
30055,795260,8827,8827,797820,11387,11387,run00322_00031.mid.lz4
30056,795261,8828,8828,797821,11388,11388,run00322_00031.mid.lz4
30057,795262,8829,8829,797822,11389,11389,run00322_00031.mid.lz4
30058,795263,8830,8830,797823,11390,11390,run00322_00031.mid.lz4
30059,795264,8831,8831,797824,11391,11391,run00322_00031.mid.lz4
30060,795265,8832,8832,797825,11392,11392,run00322_00031.mid.lz4
30061,795266,8833,8833,797826,11393,11393,run00322_00031.mid.lz4
30062,795267,8834,8834,797827,11394,11394,run00322_00031.mid.lz4
30063,795268,8835,8835,797828,11395,11395,run00322_00031.mid.lz4
30064,795269,8836,8836,797829,11396,11396,run00322_00031.mid.lz4
30065,795270,8837,8837,797830,11397,11397,run00322_00031.mid.lz4
30066,795271,8838,8838,797831,11398,11398,run00322_00031.mid.lz4
30067,795272,8839,8839,797832,11399,11399,run00322_00031.mid.lz4
30068,795273,8840,8840,797833,11400,11400,run00322_00031.mid.lz4
30069,795274,8841,8841,797834,11401,11401,run00322_00031.mid.lz4
30070,795275,8842,8842,797835,11402,11402,run00322_00031.mid.lz4
30071,795276,8843,8843,797836,11403,11403,run00322_00031.mid.lz4
30072,795277,8844,8844,797837,11404,11404,run00322_00031.mid.lz4
30073,795278,8845,8845,797838,11405,11405,run00322_00031.mid.lz4
30074,795279,8846,8846,797839,11406,11406,run00322_00031.mid.lz4
30075,795280,8847,8847,797840,11407,11407,run00322_00031.mid.lz4
30076,795281,8848,8848,797841,11408,11408,run00322_00031.mid.lz4
30077,795282,8849,8849,797842,11409,11409,run00322_00031.mid.lz4
30078,795283,8850,8850,797843,11410,11410,run00322_00031.mid.lz4
30079,795284,8851,8851,797844,11411,11411,run00322_00031.mid.lz4
30080,795285,8852,8852,797845,11412,11412,run00322_00031.mid.lz4
30081,795286,8853,8853,797846,11413,11413,run00322_00031.mid.lz4
30082,795287,8854,8854,797847,11414,11414,run00322_00031.mid.lz4
30083,795288,8855,8855,797848,11415,11415,run00322_00031.mid.lz4
30084,795289,8856,8856,797849,11416,11416,run00322_00031.mid.lz4
30085,795290,8857,8857,797850,11417,11417,run00322_00031.mid.lz4
30086,795291,8858,8858,797851,11418,11418,run00322_00031.mid.lz4
30087,795292,8859,8859,797852,11419,11419,run00322_00031.mid.lz4
30088,795293,8860,8860,797853,11420,11420,run00322_00031.mid.lz4
30089,795294,8861,8861,797854,11421,11421,run00322_00031.mid.lz4
30090,795295,8862,8862,797855,11422,11422,run00322_00031.mid.lz4
30091,795296,8863,8863,797856,11423,11423,run00322_00031.mid.lz4
